ccode1,ccode2,year,imp,places,currency,country1,country2
553,2,1929,31965,1,Pounds,Malawi,United States
553,2,1930,35561,1,Pounds,Malawi,United States
553,2,1931,19570,1,Pounds,Malawi,United States
553,2,1932,9421,1,Pounds,Malawi,United States
553,2,1933,4084,1,Pounds,Malawi,United States
553,2,1934,18071,1,Pounds,Malawi,United States
553,2,1935,26770,1,Pounds,Malawi,United States
553,2,1936,34290,1,Pounds,Malawi,United States
553,2,1937,42012,1,Pounds,Malawi,United States
553,2,1938,36422,1,Pounds,Malawi,United States
553,2,1939,65027,1,Pounds,Malawi,United States
553,2,1940,63762,1,Pounds,Malawi,United States
553,2,1941,100376,1,Pounds,Malawi,United States
553,2,1943,79787,1,Pounds,Malawi,United States
553,2,1944,180408,1,Pounds,Malawi,United States
553,2,1946,162489,1,Pounds,Malawi,United States
553,2,1947,1147057,1,Pounds,Malawi,United States
553,2,1948,515994,1,Pounds,Malawi,United States
553,2,1949,331503,1,Pounds,Malawi,United States
553,20,1929,3884,1,Pounds,Malawi,Canada
553,20,1930,10693,1,Pounds,Malawi,Canada
553,20,1931,7846,1,Pounds,Malawi,Canada
553,20,1932,6555,1,Pounds,Malawi,Canada
553,20,1933,4118,1,Pounds,Malawi,Canada
553,20,1934,8655,1,Pounds,Malawi,Canada
553,20,1935,6520,1,Pounds,Malawi,Canada
553,20,1936,8668,1,Pounds,Malawi,Canada
553,20,1937,7908,1,Pounds,Malawi,Canada
553,20,1938,6209,1,Pounds,Malawi,Canada
553,20,1939,5950,1,Pounds,Malawi,Canada
553,20,1940,7776,1,Pounds,Malawi,Canada
553,20,1941,26952,1,Pounds,Malawi,Canada
553,20,1943,15438,1,Pounds,Malawi,Canada
553,20,1944,33919,1,Pounds,Malawi,Canada
553,20,1946,36839,1,Pounds,Malawi,Canada
553,20,1947,52233,1,Pounds,Malawi,Canada
553,20,1948,42676,1,Pounds,Malawi,Canada
553,20,1949,55991,1,Pounds,Malawi,Canada
553,40,1929,0,1,Pounds,Malawi,Cuba
553,40,1930,0,1,Pounds,Malawi,Cuba
553,40,1931,0,1,Pounds,Malawi,Cuba
553,40,1932,0,1,Pounds,Malawi,Cuba
553,40,1933,0,1,Pounds,Malawi,Cuba
553,40,1934,0,1,Pounds,Malawi,Cuba
553,40,1935,0,1,Pounds,Malawi,Cuba
553,40,1936,0,1,Pounds,Malawi,Cuba
553,40,1937,0,1,Pounds,Malawi,Cuba
553,40,1938,2,1,Pounds,Malawi,Cuba
553,40,1939,1,1,Pounds,Malawi,Cuba
553,40,1940,0,1,Pounds,Malawi,Cuba
553,40,1941,0,1,Pounds,Malawi,Cuba
553,40,1943,12,1,Pounds,Malawi,Cuba
553,40,1944,10,1,Pounds,Malawi,Cuba
553,40,1946,25,1,Pounds,Malawi,Cuba
553,40,1947,12,1,Pounds,Malawi,Cuba
553,40,1948,5,1,Pounds,Malawi,Cuba
553,40,1949,0,1,Pounds,Malawi,Cuba
553,51,1929,0,1,Pounds,Malawi,Jamaica
553,51,1930,0,1,Pounds,Malawi,Jamaica
553,51,1931,0,1,Pounds,Malawi,Jamaica
553,51,1932,0,1,Pounds,Malawi,Jamaica
553,51,1933,0,1,Pounds,Malawi,Jamaica
553,51,1934,0,1,Pounds,Malawi,Jamaica
553,51,1935,0,1,Pounds,Malawi,Jamaica
553,51,1936,0,1,Pounds,Malawi,Jamaica
553,51,1937,0,1,Pounds,Malawi,Jamaica
553,51,1938,0,1,Pounds,Malawi,Jamaica
553,51,1939,0,1,Pounds,Malawi,Jamaica
553,51,1940,0,1,Pounds,Malawi,Jamaica
553,51,1941,0,1,Pounds,Malawi,Jamaica
553,51,1943,0,1,Pounds,Malawi,Jamaica
553,51,1944,0,1,Pounds,Malawi,Jamaica
553,51,1946,126,1,Pounds,Malawi,Jamaica
553,51,1947,0,1,Pounds,Malawi,Jamaica
553,51,1948,0,1,Pounds,Malawi,Jamaica
553,51,1949,0,1,Pounds,Malawi,Jamaica
553,52,1929,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1930,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1931,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1932,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1933,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1934,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1935,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1936,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1937,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1938,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1939,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1940,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1941,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1943,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1944,70,1,Pounds,Malawi,Trinidad And Tobago
553,52,1946,62,1,Pounds,Malawi,Trinidad And Tobago
553,52,1947,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1948,0,1,Pounds,Malawi,Trinidad And Tobago
553,52,1949,0,1,Pounds,Malawi,Trinidad And Tobago
553,68,1929,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1930,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1931,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1932,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1933,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1934,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1935,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1936,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1937,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1938,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1939,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1940,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1941,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1943,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1944,150,1,Pounds,Malawi,Netherlands Antilles
553,68,1946,1334,1,Pounds,Malawi,Netherlands Antilles
553,68,1947,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1948,0,1,Pounds,Malawi,Netherlands Antilles
553,68,1949,0,1,Pounds,Malawi,Netherlands Antilles
553,70,1929,0,1,Pounds,Malawi,Mexico
553,70,1930,0,1,Pounds,Malawi,Mexico
553,70,1931,0,1,Pounds,Malawi,Mexico
553,70,1932,0,1,Pounds,Malawi,Mexico
553,70,1933,0,1,Pounds,Malawi,Mexico
553,70,1934,0,1,Pounds,Malawi,Mexico
553,70,1935,0,1,Pounds,Malawi,Mexico
553,70,1936,0,1,Pounds,Malawi,Mexico
553,70,1937,0,1,Pounds,Malawi,Mexico
553,70,1938,0,1,Pounds,Malawi,Mexico
553,70,1939,0,1,Pounds,Malawi,Mexico
553,70,1940,0,1,Pounds,Malawi,Mexico
553,70,1941,0,1,Pounds,Malawi,Mexico
553,70,1943,0,1,Pounds,Malawi,Mexico
553,70,1944,0,1,Pounds,Malawi,Mexico
553,70,1946,0,1,Pounds,Malawi,Mexico
553,70,1947,810,1,Pounds,Malawi,Mexico
553,70,1948,5407,1,Pounds,Malawi,Mexico
553,70,1949,0,1,Pounds,Malawi,Mexico
553,101,1929,0,1,Pounds,Malawi,Venezuela
553,101,1930,0,1,Pounds,Malawi,Venezuela
553,101,1931,0,1,Pounds,Malawi,Venezuela
553,101,1932,0,1,Pounds,Malawi,Venezuela
553,101,1933,0,1,Pounds,Malawi,Venezuela
553,101,1934,0,1,Pounds,Malawi,Venezuela
553,101,1935,0,1,Pounds,Malawi,Venezuela
553,101,1936,7,1,Pounds,Malawi,Venezuela
553,101,1937,0,1,Pounds,Malawi,Venezuela
553,101,1938,0,1,Pounds,Malawi,Venezuela
553,101,1939,0,1,Pounds,Malawi,Venezuela
553,101,1940,0,1,Pounds,Malawi,Venezuela
553,101,1941,0,1,Pounds,Malawi,Venezuela
553,101,1943,0,1,Pounds,Malawi,Venezuela
553,101,1944,0,1,Pounds,Malawi,Venezuela
553,101,1946,0,1,Pounds,Malawi,Venezuela
553,101,1947,0,1,Pounds,Malawi,Venezuela
553,101,1948,0,1,Pounds,Malawi,Venezuela
553,101,1949,0,1,Pounds,Malawi,Venezuela
553,110,1929,0,1,Pounds,Malawi,Guyana
553,110,1930,0,1,Pounds,Malawi,Guyana
553,110,1931,0,1,Pounds,Malawi,Guyana
553,110,1932,0,1,Pounds,Malawi,Guyana
553,110,1933,0,1,Pounds,Malawi,Guyana
553,110,1934,0,1,Pounds,Malawi,Guyana
553,110,1935,0,1,Pounds,Malawi,Guyana
553,110,1936,0,1,Pounds,Malawi,Guyana
553,110,1937,0,1,Pounds,Malawi,Guyana
553,110,1938,0,1,Pounds,Malawi,Guyana
553,110,1939,0,1,Pounds,Malawi,Guyana
553,110,1940,0,1,Pounds,Malawi,Guyana
553,110,1941,0,1,Pounds,Malawi,Guyana
553,110,1943,0,1,Pounds,Malawi,Guyana
553,110,1944,0,1,Pounds,Malawi,Guyana
553,110,1946,0,1,Pounds,Malawi,Guyana
553,110,1947,0,1,Pounds,Malawi,Guyana
553,110,1948,0,1,Pounds,Malawi,Guyana
553,110,1949,16,1,Pounds,Malawi,Guyana
553,135,1929,0,1,Pounds,Malawi,Peru
553,135,1930,0,1,Pounds,Malawi,Peru
553,135,1931,0,1,Pounds,Malawi,Peru
553,135,1932,0,1,Pounds,Malawi,Peru
553,135,1933,0,1,Pounds,Malawi,Peru
553,135,1934,0,1,Pounds,Malawi,Peru
553,135,1935,0,1,Pounds,Malawi,Peru
553,135,1936,0,1,Pounds,Malawi,Peru
553,135,1937,2,1,Pounds,Malawi,Peru
553,135,1938,0,1,Pounds,Malawi,Peru
553,135,1939,0,1,Pounds,Malawi,Peru
553,135,1940,0,1,Pounds,Malawi,Peru
553,135,1941,0,1,Pounds,Malawi,Peru
553,135,1943,0,1,Pounds,Malawi,Peru
553,135,1944,0,1,Pounds,Malawi,Peru
553,135,1946,0,1,Pounds,Malawi,Peru
553,135,1947,0,1,Pounds,Malawi,Peru
553,135,1948,0,1,Pounds,Malawi,Peru
553,135,1949,0,1,Pounds,Malawi,Peru
553,140,1929,0,1,Pounds,Malawi,Brazil
553,140,1930,0,1,Pounds,Malawi,Brazil
553,140,1931,0,1,Pounds,Malawi,Brazil
553,140,1932,0,1,Pounds,Malawi,Brazil
553,140,1933,0,1,Pounds,Malawi,Brazil
553,140,1934,20,1,Pounds,Malawi,Brazil
553,140,1935,19,1,Pounds,Malawi,Brazil
