ccode1,ccode2,year,imp,places,currency,country1,country2
115,2,1931,1611144,1,,Suriname,United States
115,2,1932,1212313,1,,Suriname,United States
115,2,1933,973764,1,,Suriname,United States
115,2,1934,878063,1,,Suriname,United States
115,2,1935,970307,1,,Suriname,United States
115,2,1936,1172547,1,,Suriname,United States
115,2,1937,1541798,1,,Suriname,United States
115,2,1938,1756468,1,,Suriname,United States
115,2,1939,2363621,1,,Suriname,United States
115,2,1943,11525414,1,,Suriname,United States
115,2,1944,9328993,1,,Suriname,United States
115,2,1945,7243296,1,,Suriname,United States
115,2,1946,8692308,1,,Suriname,United States
115,2,1947,17885479,1,,Suriname,United States
115,2,1948,17740885,1,,Suriname,United States
115,2,1949,19746672,1,,Suriname,United States
115,3,1931,0,1,,Suriname,Alaska
115,3,1932,0,1,,Suriname,Alaska
115,3,1933,0,1,,Suriname,Alaska
115,3,1934,0,1,,Suriname,Alaska
115,3,1935,0,1,,Suriname,Alaska
115,3,1936,0,1,,Suriname,Alaska
115,3,1937,0,1,,Suriname,Alaska
115,3,1938,0,1,,Suriname,Alaska
115,3,1939,0,1,,Suriname,Alaska
115,3,1943,0,1,,Suriname,Alaska
115,3,1944,0,1,,Suriname,Alaska
115,3,1945,0,1,,Suriname,Alaska
115,3,1946,0,1,,Suriname,Alaska
115,3,1947,0,1,,Suriname,Alaska
115,3,1948,2939,1,,Suriname,Alaska
115,3,1949,0,1,,Suriname,Alaska
115,6,1931,0,1,,Suriname,Puerto Rico
115,6,1932,0,1,,Suriname,Puerto Rico
115,6,1933,496,1,,Suriname,Puerto Rico
115,6,1934,1722,1,,Suriname,Puerto Rico
115,6,1935,4676,1,,Suriname,Puerto Rico
115,6,1936,12839,1,,Suriname,Puerto Rico
115,6,1937,14862,1,,Suriname,Puerto Rico
115,6,1938,26941,1,,Suriname,Puerto Rico
115,6,1939,30872,1,,Suriname,Puerto Rico
115,6,1943,81944,1,,Suriname,Puerto Rico
115,6,1944,134655,1,,Suriname,Puerto Rico
115,6,1945,89240,1,,Suriname,Puerto Rico
115,6,1946,65,1,,Suriname,Puerto Rico
115,6,1947,30608,1,,Suriname,Puerto Rico
115,6,1948,16671,1,,Suriname,Puerto Rico
115,6,1949,55519,1,,Suriname,Puerto Rico
115,20,1931,710,1,,Suriname,Canada
115,20,1932,161777,1,,Suriname,Canada
115,20,1933,161290,1,,Suriname,Canada
115,20,1934,93240,1,,Suriname,Canada
115,20,1935,101058,1,,Suriname,Canada
115,20,1936,76928,1,,Suriname,Canada
115,20,1937,95468,1,,Suriname,Canada
115,20,1938,72016,1,,Suriname,Canada
115,20,1939,86376,1,,Suriname,Canada
115,20,1943,246673,1,,Suriname,Canada
115,20,1944,286749,1,,Suriname,Canada
115,20,1945,212586,1,,Suriname,Canada
115,20,1946,362157,1,,Suriname,Canada
115,20,1947,513865,1,,Suriname,Canada
115,20,1948,850031,1,,Suriname,Canada
115,20,1949,942683,1,,Suriname,Canada
115,40,1931,0,1,,Suriname,Cuba
115,40,1932,0,1,,Suriname,Cuba
115,40,1933,0,1,,Suriname,Cuba
115,40,1934,0,1,,Suriname,Cuba
115,40,1935,125,1,,Suriname,Cuba
115,40,1936,0,1,,Suriname,Cuba
115,40,1937,0,1,,Suriname,Cuba
115,40,1938,0,1,,Suriname,Cuba
115,40,1939,4653,1,,Suriname,Cuba
115,40,1943,77,1,,Suriname,Cuba
115,40,1944,11743,1,,Suriname,Cuba
115,40,1945,14424,1,,Suriname,Cuba
115,40,1946,270,1,,Suriname,Cuba
115,40,1947,476,1,,Suriname,Cuba
115,40,1948,155,1,,Suriname,Cuba
115,40,1949,65,1,,Suriname,Cuba
115,41,1931,0,1,,Suriname,Haiti
115,41,1932,0,1,,Suriname,Haiti
115,41,1933,0,1,,Suriname,Haiti
115,41,1934,435,1,,Suriname,Haiti
115,41,1935,22,1,,Suriname,Haiti
115,41,1936,0,1,,Suriname,Haiti
115,41,1937,0,1,,Suriname,Haiti
115,41,1938,0,1,,Suriname,Haiti
115,41,1939,1,1,,Suriname,Haiti
115,41,1943,0,1,,Suriname,Haiti
115,41,1944,0,1,,Suriname,Haiti
115,41,1945,7514,1,,Suriname,Haiti
115,41,1946,8133,1,,Suriname,Haiti
115,41,1947,4201,1,,Suriname,Haiti
115,41,1948,4044,1,,Suriname,Haiti
115,41,1949,0,1,,Suriname,Haiti
115,42,1931,0,1,,Suriname,Dominican Republic
115,42,1932,0,1,,Suriname,Dominican Republic
115,42,1933,320,1,,Suriname,Dominican Republic
115,42,1934,151,1,,Suriname,Dominican Republic
115,42,1935,0,1,,Suriname,Dominican Republic
115,42,1936,0,1,,Suriname,Dominican Republic
115,42,1937,0,1,,Suriname,Dominican Republic
115,42,1938,0,1,,Suriname,Dominican Republic
115,42,1939,0,1,,Suriname,Dominican Republic
115,42,1943,0,1,,Suriname,Dominican Republic
115,42,1944,0,1,,Suriname,Dominican Republic
115,42,1945,0,1,,Suriname,Dominican Republic
115,42,1946,0,1,,Suriname,Dominican Republic
115,42,1947,0,1,,Suriname,Dominican Republic
115,42,1948,0,1,,Suriname,Dominican Republic
115,42,1949,604,1,,Suriname,Dominican Republic
115,51,1931,0,1,,Suriname,Jamaica
115,51,1932,0,1,,Suriname,Jamaica
115,51,1933,16,1,,Suriname,Jamaica
115,51,1934,121,1,,Suriname,Jamaica
115,51,1935,0,1,,Suriname,Jamaica
115,51,1936,153,1,,Suriname,Jamaica
115,51,1937,0,1,,Suriname,Jamaica
115,51,1938,927,1,,Suriname,Jamaica
115,51,1939,18,1,,Suriname,Jamaica
115,51,1943,0,1,,Suriname,Jamaica
115,51,1944,3967,1,,Suriname,Jamaica
115,51,1945,4897,1,,Suriname,Jamaica
115,51,1946,26832,1,,Suriname,Jamaica
115,51,1947,10687,1,,Suriname,Jamaica
115,51,1948,52050,1,,Suriname,Jamaica
115,51,1949,299,1,,Suriname,Jamaica
115,52,1931,276863,1,,Suriname,Trinidad And Tobago
115,52,1932,137097,1,,Suriname,Trinidad And Tobago
115,52,1933,133425,1,,Suriname,Trinidad And Tobago
115,52,1934,155008,1,,Suriname,Trinidad And Tobago
115,52,1935,195774,1,,Suriname,Trinidad And Tobago
115,52,1936,161597,1,,Suriname,Trinidad And Tobago
115,52,1937,271282,1,,Suriname,Trinidad And Tobago
115,52,1938,239792,1,,Suriname,Trinidad And Tobago
115,52,1939,381303,1,,Suriname,Trinidad And Tobago
115,52,1943,1185555,1,,Suriname,Trinidad And Tobago
115,52,1944,1201437,1,,Suriname,Trinidad And Tobago
115,52,1945,990254,1,,Suriname,Trinidad And Tobago
115,52,1946,1531271,1,,Suriname,Trinidad And Tobago
115,52,1947,1729043,1,,Suriname,Trinidad And Tobago
115,52,1948,2170402,1,,Suriname,Trinidad And Tobago
115,52,1949,2444796,1,,Suriname,Trinidad And Tobago
115,53,1931,5222,1,,Suriname,Barbados
115,53,1932,4146,1,,Suriname,Barbados
115,53,1933,8484,1,,Suriname,Barbados
115,53,1934,21760,1,,Suriname,Barbados
115,53,1935,15769,1,,Suriname,Barbados
115,53,1936,20022,1,,Suriname,Barbados
115,53,1937,28519,1,,Suriname,Barbados
115,53,1938,23145,1,,Suriname,Barbados
115,53,1939,18833,1,,Suriname,Barbados
115,53,1943,22320,1,,Suriname,Barbados
115,53,1944,16692,1,,Suriname,Barbados
115,53,1945,47415,1,,Suriname,Barbados
